nomor_struk,tgl_transaksi,kode_produk,nama_produk,jumlah_terjual,harga,total_nilai
INV-00000001,01-02-2025,MARGRN,Margarin Serbaguna,4,18000,72000
INV-00000002,01-02-2025,DISF1L,Cairan Disinfektan 1L,5,60500,302500
INV-00000002,01-02-2025,AMGALN,Air Mineral Galon,1,15500,15500
INV-00000002,01-02-2025,SNKKPT,Snack Keripik Kentang,1,20500,20500
INV-00000002,01-02-2025,BANTAL,Bantal Tidur Silikon,2,66500,133000
INV-00000002,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00000002,01-02-2025,TEKOLT,Teko Listrik,2,89000,178000
INV-00000002,01-02-2025,KBLCHG,Kabel Data Fast Charge,1,59000,59000
INV-00000002,01-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00000003,01-02-2025,SMBAT3,Sabun Mandi Batang (Isi 3),1,11000,11000
INV-00000003,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00000004,01-02-2025,TRMS50,Termos Air Panas 500ml,3,81000,243000
INV-00000004,01-02-2025,KBLCHG,Kabel Data Fast Charge,8,59000,472000
INV-00000004,01-02-2025,SHPSAC,Shampo Sachet,1,17500,17500
INV-00000005,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00000006,01-02-2025,TEKOLT,Teko Listrik,2,89000,178000
INV-00000006,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00000006,01-02-2025,GRMDAP,Garam Dapur (3 Pack),3,10500,31500
INV-00000006,01-02-2025,MSKMED,Masker Medis (1 Box),1,52500,52500
INV-00000006,01-02-2025,TLR05K,Telur Ayam (Setengah Kg),1,16500,16500
INV-00000006,01-02-2025,MARGRN,Margarin Serbaguna,2,18000,36000
INV-00000006,01-02-2025,BATAA4,Baterai AA (Isi 4),4,15500,62000
INV-00000007,01-02-2025,JASHJN,Jas Hujan Plastik,2,70500,141000
INV-00000007,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00000007,01-02-2025,KBLCHG,Kabel Data Fast Charge,10,59000,590000
INV-00000007,01-02-2025,BANTAL,Bantal Tidur Silikon,1,66500,66500
INV-00000007,01-02-2025,TISWJH,Tisu Wajah Pack Ganda,3,32500,97500
INV-00000007,01-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00000008,01-02-2025,SNKKPT,Snack Keripik Kentang,2,20500,41000
INV-00000008,01-02-2025,WDHMA K,Wadah Penyimpanan Makanan,2,78000,156000
INV-00000008,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00000008,01-02-2025,GRMDAP,Garam Dapur (3 Pack),7,10500,73500
INV-00000008,01-02-2025,PSGIGI,Pasta Gigi Pack Besar,1,23500,23500
INV-00000008,01-02-2025,MARGRN,Margarin Serbaguna,4,18000,72000
INV-00000008,01-02-2025,PHRUMH,Pengharum Ruangan,2,54000,108000
INV-00000008,01-02-2025,SHPSAC,Shampo Sachet,2,17500,35000
INV-00000008,01-02-2025,DISF1L,Cairan Disinfektan 1L,4,60500,242000
INV-00000009,01-02-2025,PHRUMH,Pengharum Ruangan,2,54000,108000
INV-00000009,01-02-2025,GRMDAP,Garam Dapur (3 Pack),1,10500,10500
INV-00000010,01-02-2025,GRMDAP,Garam Dapur (3 Pack),2,10500,21000
INV-00000010,01-02-2025,MSWRLS,Mouse Wireless,4,75000,300000
INV-00000010,01-02-2025,TEKOLT,Teko Listrik,3,89000,267000
INV-00000010,01-02-2025,DTG800,Deterjen Bubuk 800g,1,28500,28500
INV-00000010,01-02-2025,CPL2L,Cairan Pembersih Lantai 2L,7,27500,192500
INV-00000010,01-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00000010,01-02-2025,KBLCHG,Kabel Data Fast Charge,8,59000,472000
INV-00000010,01-02-2025,KOPIAR,Kopi Bubuk Arabika 250g,1,58500,58500
INV-00000010,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),2,25000,50000
INV-00000010,01-02-2025,STRIKA,Setrika Listrik Standar,2,99500,199000
INV-00000011,01-02-2025,AMGALN,Air Mineral Galon,2,15500,31000
INV-00000012,01-02-2025,JASHJN,Jas Hujan Plastik,1,70500,70500
INV-00000012,01-02-2025,MSKMED,Masker Medis (1 Box),1,52500,52500
INV-00000012,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),1,25000,25000
INV-00000013,01-02-2025,GRMDAP,Garam Dapur (3 Pack),1,10500,10500
INV-00000013,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00000013,01-02-2025,MSKMED,Masker Medis (1 Box),2,52500,105000
INV-00000014,01-02-2025,CPL2L,Cairan Pembersih Lantai 2L,1,27500,27500
INV-00000015,01-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00000015,01-02-2025,TRMS50,Termos Air Panas 500ml,2,81000,162000
INV-00000015,01-02-2025,AMGALN,Air Mineral Galon,2,15500,31000
INV-00000015,01-02-2025,DTG800,Deterjen Bubuk 800g,2,28500,57000
INV-00000015,01-02-2025,PHRUMH,Pengharum Ruangan,2,54000,108000
INV-00000016,01-02-2025,MADUHA,Madu Hutan Asli,1,36000,36000
INV-00000016,01-02-2025,MARGRN,Margarin Serbaguna,1,18000,18000
INV-00000016,01-02-2025,JASHJN,Jas Hujan Plastik,1,70500,70500
INV-00000016,01-02-2025,GRMDAP,Garam Dapur (3 Pack),4,10500,42000
INV-00000016,01-02-2025,PANTEF,Panci Teflon Kecil,1,81500,81500
INV-00000016,01-02-2025,TRMS50,Termos Air Panas 500ml,1,81000,81000
INV-00000016,01-02-2025,CPL2L,Cairan Pembersih Lantai 2L,6,27500,165000
INV-00000016,01-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00000016,01-02-2025,KSKK3P,Kaos Kaki (3 Pasang),3,25000,75000
INV-00000016,01-02-2025,MSWRLS,Mouse Wireless,2,75000,150000
INV-00000017,01-02-2025,PANTEF,Panci Teflon Kecil,2,81500,163000
INV-00000017,01-02-2025,MSWRLS,Mouse Wireless,3,75000,225000
INV-00000017,01-02-2025,SACTAN,Sabun Cuci Tangan Reffil,2,15000,30000
INV-00000017,01-02-2025,KSETAS,Keset Kaki Anti-Slip,2,70000,140000
INV-00000018,01-02-2025,CPL2L,Cairan Pembersih Lantai 2L,6,27500,165000
INV-00000018,01-02-2025,TISWJH,Tisu Wajah Pack Ganda,1,32500,32500
INV-00000018,01-02-2025,SNKKPT,Snack Keripik Kentang,2,20500,41000
INV-00000018,01-02-2025,GRMDAP,Garam Dapur (3 Pack),4,10500,42000
INV-00000018,01-02-2025,PSGIGI,Pasta Gigi Pack Besar,2,23500,47000
INV-00000018,01-02-2025,SACTAN,Sabun Cuci Tangan Reffil,1,15000,15000
INV-00000018,01-02-2025,GULP2K,Gula Pasir 2kg,1,44500,44500
INV-00000018,01-02-2025,BANTAL,Bantal Tidur Silikon,3,66500,199500
INV-00000018,01-02-2025,TRMS50,Termos Air Panas 500ml,1,81000,81000
